version,gas_type,gas_name,leak_present,severity,severity_name,gas_confidence,leak_probability,severity_confidence,ppm_estimate,inference_time_us,voltages,payload_size,source_board,actual_gas_type,actual_gas_name,actual_severity,actual_severity_name
1,2,lpg,1,2,medium,1.0,1.0,0.75,958,903,"[1.245, 0.044, 1.207, 1.131, 1.19, 0.164, 0.042, 1.025]",32,Board11,2,lpg,2,medium
1,0,normal,0,0,normal,1.0,0.0,1.0,0,903,"[0.002, 0.027, 0.001, 0.002, 0.001, 0.64, 0.03, 0.001]",32,Board11,0,normal,0,normal
1,0,normal,0,0,normal,1.0,0.0,1.0,0,903,"[0.002, 0.027, 0.001, 0.002, 0.001, 0.634, 0.03, 0.001]",32,Board11,0,normal,0,normal
1,0,normal,0,0,normal,1.0,0.0,1.0,0,903,"[0.002, 0.027, 0.001, 0.002, 0.001, 0.659, 0.03, 0.001]",32,Board11,0,normal,0,normal
1,0,normal,0,0,normal,1.0,0.0,1.0,0,903,"[0.002, 0.027, 0.001, 0.002, 0.001, 0.643, 0.03, 0.001]",32,Board11,0,normal,0,normal
1,2,lpg,1,2,medium,1.0,1.0,0.975,958,903,"[1.246, 0.045, 1.207, 1.135, 1.19, 0.175, 0.043, 1.026]",32,Board11,2,lpg,2,medium
1,2,lpg,1,3,high,1.0,1.0,1.0,997,903,"[1.307, 0.041, 1.212, 1.162, 1.204, 0.973, 0.04, 1.132]",32,Board11,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,903,"[0.002, 0.027, 0.001, 0.002, 0.001, 0.657, 0.03, 0.001]",32,Board11,0,normal,0,normal
1,2,lpg,1,1,low,1.0,1.0,0.875,955,903,"[1.238, 0.043, 1.207, 1.136, 1.192, 0.196, 0.041, 1.018]",32,Board11,2,lpg,1,low
1,2,lpg,1,2,medium,1.0,1.0,0.742,958,903,"[1.249, 0.042, 1.207, 1.136, 1.191, 0.13, 0.04, 1.021]",32,Board11,2,lpg,2,medium
