version,gas_type,gas_name,leak_present,severity,severity_name,gas_confidence,leak_probability,severity_confidence,ppm_estimate,inference_time_us,voltages,payload_size,source_board,actual_gas_type,actual_gas_name,actual_severity,actual_severity_name
1,2,lpg,1,2,medium,1.0,1.0,0.9,951,487,"[0.582, 0.127, 1.173, 1.536, 0.952, 0.003, 1.314, 1.764]",32,Board3,2,lpg,2,medium
1,0,normal,0,0,normal,1.0,0.0,1.0,0,487,"[0.005, 0.017, 0.049, 0.002, 0.003, 0.003, 0.001, 0.0]",32,Board3,0,normal,0,normal
1,0,normal,0,0,normal,1.0,0.0,1.0,0,487,"[0.006, 0.002, 0.035, 0.002, 0.004, 0.003, 0.001, 0.0]",32,Board3,0,normal,0,normal
1,1,methane,1,1,low,1.0,1.0,1.0,608,487,"[0.092, 0.428, 0.386, 0.87, 0.056, 0.003, 0.734, 1.4]",32,Board3,1,methane,1,low
1,2,lpg,1,2,medium,1.0,1.0,1.0,948,487,"[0.571, 0.127, 1.18, 1.534, 0.929, 0.003, 1.311, 1.752]",32,Board3,2,lpg,2,medium
1,1,methane,1,3,high,0.983,1.0,0.492,939,487,"[0.106, 0.469, 0.511, 1.551, 0.07, 0.003, 1.275, 1.901]",32,Board3,1,methane,3,high
1,2,lpg,1,1,low,1.0,1.0,1.0,886,487,"[0.323, 0.122, 1.192, 1.503, 0.504, 0.003, 1.29, 1.525]",32,Board3,2,lpg,1,low
1,2,lpg,1,1,low,0.975,1.0,0.742,905,487,"[0.444, 0.122, 0.4, 1.518, 0.563, 0.003, 1.296, 1.618]",32,Board3,2,lpg,1,low
1,2,lpg,1,3,high,1.0,1.0,0.992,957,487,"[0.569, 0.128, 1.175, 1.543, 0.974, 0.003, 1.317, 1.791]",32,Board3,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,487,"[0.006, 0.02, 0.022, 0.002, 0.004, 0.003, 0.001, 0.0]",32,Board3,0,normal,0,normal
