,normal,methane,h2s,butane,propane,co
normal,38,0,0,0,0,0
methane,0,37,0,0,0,0
h2s,0,0,0,0,0,0
butane,0,0,0,35,0,0
propane,0,0,0,0,0,0
co,0,0,0,0,0,0
