version,gas_type,gas_name,leak_present,severity,severity_name,gas_confidence,leak_probability,severity_confidence,ppm_estimate,inference_time_us,voltages,payload_size,source_board,actual_gas_type,actual_gas_name,actual_severity,actual_severity_name
1,2,lpg,1,3,high,1.0,1.0,1.0,989,609,"[2.035, 1.638, 1.233, 1.041, 1.84, 0.044, 1.569, 1.873]",32,Board9,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,609,"[0.007, 0.007, 0.002, 0.002, 0.001, 0.029, 0.001, 0.0]",32,Board9,0,normal,0,normal
1,0,normal,0,0,normal,1.0,0.0,1.0,0,609,"[0.011, 0.005, 0.002, 0.002, 0.001, 0.029, 0.001, 0.0]",32,Board9,0,normal,0,normal
1,1,methane,1,3,high,1.0,1.0,0.892,909,609,"[2.013, 1.711, 0.65, 0.616, 1.847, 0.04, 1.579, 2.01]",32,Board9,1,methane,3,high
1,2,lpg,1,3,high,1.0,1.0,0.992,967,609,"[2.035, 1.634, 1.238, 0.927, 1.837, 0.046, 1.567, 1.788]",32,Board9,2,lpg,3,high
1,1,methane,1,2,medium,1.0,1.0,0.975,878,609,"[2.009, 1.673, 0.634, 0.293, 1.853, 0.041, 1.556, 1.908]",32,Board9,1,methane,2,medium
1,2,lpg,1,1,low,1.0,1.0,0.992,669,609,"[2.032, 1.623, 1.26, 0.509, 1.829, 0.05, 1.557, 0.53]",32,Board9,2,lpg,1,low
1,2,lpg,1,1,low,1.0,1.0,1.0,663,609,"[2.03, 1.624, 1.259, 0.366, 1.829, 0.047, 1.556, 0.499]",32,Board9,2,lpg,1,low
1,2,lpg,1,3,high,0.975,1.0,0.992,999,609,"[2.04, 1.668, 1.218, 1.302, 1.847, 0.041, 1.573, 1.925]",32,Board9,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,609,"[0.008, 0.011, 0.002, 0.004, 0.001, 0.03, 0.001, 0.0]",32,Board9,0,normal,0,normal
