version,gas_type,gas_name,leak_present,severity,severity_name,gas_confidence,leak_probability,severity_confidence,ppm_estimate,inference_time_us,voltages,payload_size,source_board,actual_gas_type,actual_gas_name,actual_severity,actual_severity_name
1,2,lpg,1,3,high,1.0,1.0,1.0,902,593,"[1.413, 2.045, 1.0, 1.345, 2.195, 1.346, 1.24, 2.224]",32,Board6,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,593,"[0.033, 0.007, 0.106, 0.004, 0.004, 0.007, 0.001, 0.002]",32,Board6,0,normal,0,normal
1,0,normal,0,0,normal,1.0,0.0,1.0,0,593,"[0.042, 0.008, 0.118, 0.005, 0.004, 0.006, 0.001, 0.002]",32,Board6,0,normal,0,normal
1,1,methane,1,2,medium,1.0,1.0,0.917,11,593,"[0.991, 0.871, 0.161, 0.006, 0.012, 0.008, 0.007, 0.014]",32,Board6,1,methane,2,medium
1,2,lpg,1,3,high,1.0,1.0,1.0,913,593,"[1.413, 2.043, 0.996, 1.357, 2.195, 1.305, 1.255, 2.225]",32,Board6,2,lpg,3,high
1,1,methane,1,1,low,1.0,1.0,1.0,9,593,"[0.979, 0.665, 0.156, 0.006, 0.014, 0.005, 0.005, 0.011]",32,Board6,1,methane,1,low
1,2,lpg,1,3,high,1.0,1.0,0.967,907,593,"[1.408, 2.018, 0.964, 1.275, 2.163, 1.322, 1.244, 2.214]",32,Board6,2,lpg,3,high
1,2,lpg,1,3,high,1.0,1.0,1.0,882,593,"[1.408, 2.021, 0.97, 1.283, 2.168, 1.321, 1.206, 2.218]",32,Board6,2,lpg,3,high
1,2,lpg,1,3,high,1.0,1.0,1.0,970,593,"[1.415, 2.049, 1.005, 1.51, 2.173, 1.539, 1.357, 2.194]",32,Board6,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,593,"[0.016, 0.005, 0.052, 0.004, 0.003, 0.006, 0.001, 0.001]",32,Board6,0,normal,0,normal
