version,gas_type,gas_name,leak_present,severity,severity_name,gas_confidence,leak_probability,severity_confidence,ppm_estimate,inference_time_us,voltages,payload_size,source_board,actual_gas_type,actual_gas_name,actual_severity,actual_severity_name
1,2,lpg,1,3,high,1.0,1.0,0.992,995,670,"[2.223, 1.94, 1.193, 1.699, 1.615, 0.051, 1.894, 1.925]",32,Board7,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,670,"[0.093, 0.023, 0.07, 0.002, 0.003, 0.03, 0.001, 0.004]",32,Board7,0,normal,0,normal
1,0,normal,0,0,normal,1.0,0.0,1.0,0,670,"[0.074, 0.016, 0.021, 0.002, 0.002, 0.029, 0.001, 0.0]",32,Board7,0,normal,0,normal
1,1,methane,1,1,low,1.0,1.0,1.0,879,670,"[2.089, 1.934, 0.309, 1.728, 1.632, 0.041, 1.581, 1.616]",32,Board7,1,methane,1,low
1,2,lpg,1,3,high,1.0,1.0,1.0,993,670,"[2.227, 1.941, 1.198, 1.699, 1.615, 0.05, 1.889, 1.922]",32,Board7,2,lpg,3,high
1,1,methane,1,1,low,1.0,1.0,1.0,863,670,"[2.095, 1.939, 0.418, 1.703, 1.625, 0.047, 1.537, 1.607]",32,Board7,1,methane,1,low
1,2,lpg,1,2,medium,1.0,1.0,1.0,968,670,"[2.259, 1.934, 1.194, 1.663, 1.601, 0.053, 1.822, 1.883]",32,Board7,2,lpg,2,medium
1,2,lpg,1,2,medium,1.0,1.0,0.992,969,670,"[2.272, 1.934, 1.186, 1.666, 1.603, 0.051, 1.826, 1.887]",32,Board7,2,lpg,2,medium
1,2,lpg,1,3,high,1.0,1.0,1.0,1000,670,"[2.186, 1.943, 1.205, 1.704, 1.622, 0.046, 1.908, 1.943]",32,Board7,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,670,"[0.082, 0.037, 0.063, 0.003, 0.006, 0.027, 0.001, 0.016]",32,Board7,0,normal,0,normal
