version,gas_type,gas_name,leak_present,severity,severity_name,gas_confidence,leak_probability,severity_confidence,ppm_estimate,inference_time_us,voltages,payload_size,source_board,actual_gas_type,actual_gas_name,actual_severity,actual_severity_name
1,2,lpg,1,1,low,1.0,1.0,0.942,965,999,"[1.964, 1.884, 1.133, 1.06, 1.136, 1.33, 2.045, 1.87]",32,Board5,2,lpg,1,low
1,0,normal,0,0,normal,1.0,0.0,1.0,0,999,"[0.002, 0.095, 0.055, 0.002, 0.002, 0.005, 0.014, 0.045]",32,Board5,0,normal,0,normal
1,0,normal,0,0,normal,1.0,0.0,1.0,0,999,"[0.002, 0.089, 0.016, 0.002, 0.002, 0.008, 0.008, 0.035]",32,Board5,0,normal,0,normal
1,1,methane,1,3,high,1.0,1.0,0.992,982,999,"[1.952, 1.898, 0.289, 1.126, 0.887, 0.682, 0.969, 1.645]",32,Board5,1,methane,3,high
1,2,lpg,1,2,medium,1.0,1.0,0.992,973,999,"[1.969, 1.884, 1.173, 1.082, 1.15, 1.354, 1.862, 1.806]",32,Board5,2,lpg,2,medium
1,1,methane,1,1,low,1.0,1.0,0.992,955,999,"[1.929, 1.896, 0.43, 1.065, 0.887, 0.703, 0.981, 1.545]",32,Board5,1,methane,1,low
1,2,lpg,1,1,low,0.975,1.0,0.825,957,999,"[1.919, 1.873, 1.058, 1.075, 1.12, 1.042, 1.473, 1.592]",32,Board5,2,lpg,1,low
1,2,lpg,1,1,low,1.0,1.0,0.942,967,999,"[1.96, 1.884, 1.2, 1.072, 1.128, 1.06, 1.625, 1.73]",32,Board5,2,lpg,1,low
1,2,lpg,1,3,high,1.0,1.0,0.992,978,999,"[1.969, 1.885, 1.138, 1.1, 1.152, 1.72, 2.076, 1.919]",32,Board5,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,999,"[0.002, 0.107, 0.073, 0.002, 0.023, 0.018, 0.021, 0.07]",32,Board5,0,normal,0,normal
