version,gas_type,gas_name,leak_present,severity,severity_name,gas_confidence,leak_probability,severity_confidence,ppm_estimate,inference_time_us,voltages,payload_size,source_board,actual_gas_type,actual_gas_name,actual_severity,actual_severity_name
1,2,lpg,1,3,high,1.0,1.0,0.992,981,966,"[2.272, 1.056, 1.063, 1.504, 1.282, 1.997, 1.229, 2.101]",32,Board4,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,966,"[0.089, 0.013, 0.119, 0.002, 0.002, 0.88, 0.003, 2.798]",32,Board4,0,normal,0,normal
1,0,normal,0,0,normal,1.0,0.0,1.0,0,966,"[0.09, 0.006, 0.079, 0.005, 0.002, 0.856, 0.006, 2.851]",32,Board4,0,normal,0,normal
1,1,methane,1,2,medium,1.0,1.0,1.0,978,966,"[0.861, 1.074, 0.394, 1.497, 1.291, 2.008, 1.235, 2.029]",32,Board4,1,methane,2,medium
1,2,lpg,1,3,high,1.0,1.0,0.733,980,966,"[2.268, 0.851, 1.082, 1.507, 1.28, 1.976, 1.231, 2.115]",32,Board4,2,lpg,2,medium
1,1,methane,1,2,medium,0.95,1.0,0.967,974,966,"[0.835, 1.046, 0.372, 1.499, 1.285, 2.013, 1.231, 1.995]",32,Board4,1,methane,2,medium
1,2,lpg,1,1,low,1.0,1.0,1.0,962,966,"[1.045, 1.027, 1.157, 1.448, 1.27, 1.921, 1.166, 2.236]",32,Board4,2,lpg,1,low
1,2,lpg,1,1,low,1.0,1.0,1.0,962,966,"[1.086, 1.032, 1.151, 1.455, 1.271, 1.672, 1.17, 2.201]",32,Board4,2,lpg,1,low
1,2,lpg,1,3,high,1.0,1.0,0.992,986,966,"[2.283, 1.078, 1.078, 1.525, 1.286, 1.997, 1.238, 2.028]",32,Board4,2,lpg,3,high
1,0,normal,0,0,normal,1.0,0.0,1.0,0,966,"[0.085, 0.011, 0.054, 0.008, 0.002, 0.877, 0.011, 2.788]",32,Board4,0,normal,0,normal
